filename	mapp_sample_id	ATTRIBUTE_sample_id	ATTRIBUTE_sample_group_full	ATTRIBUTE_sample_group	sample_type	ATTRIBUTE_genus	ATTRIBUTE_species	ATTRIBUTE_receptor_site	condition 	origin	receptor_site_long_dec	receptor_site_latit_dec	origin_site_long_dec	origin_site_latit_dec
Pool_M+_RA5_01_19786_modified.mzXML	Pool_M+_RA5_01_19786	Pool_M3	Pool_M	M	QC	Sphagnum	NA	NA	NA	NA	NA	NA	NA	NA
Pool_M+_RA5_01_19800_modified.mzXML	Pool_M+_RA5_01_19800	Pool_M4	Pool_M	M	QC	Sphagnum	NA	NA	NA	NA	NA	NA	NA	NA
Pool_M+_RA5_01_19814_modified.mzXML	Pool_M+_RA5_01_19814	Pool_M5	Pool_M	M	QC	Sphagnum	NA	NA	NA	NA	NA	NA	NA	NA
Pool_M+_RA5_01_19828_modified.mzXML	Pool_M+_RA5_01_19828	Pool_M6	Pool_M	M	QC	Sphagnum	NA	NA	NA	NA	NA	NA	NA	NA
Pool_M+_RA5_01_19842_modified.mzXML	Pool_M+_RA5_01_19842	Pool_M7	Pool_M	M	QC	Sphagnum	NA	NA	NA	NA	NA	NA	NA	NA
Pool_M+_RA5_01_19856_modified.mzXML	Pool_M+_RA5_01_19856	Pool_M8	Pool_M	M	QC	Sphagnum	NA	NA	NA	NA	NA	NA	NA	NA
Pool_M+_RA5_01_19870_modified.mzXML	Pool_M+_RA5_01_19870	Pool_M9	Pool_M	M	QC	Sphagnum	NA	NA	NA	NA	NA	NA	NA	NA
Pool_M+_RA5_01_19884_modified.mzXML	Pool_M+_RA5_01_19884	Pool_M10	Pool_M	M	QC	Sphagnum	NA	NA	NA	NA	NA	NA	NA	NA
Pool_M+_RA5_01_19898_modified.mzXML	Pool_M+_RA5_01_19898	Pool_M11	Pool_M	M	QC	Sphagnum	NA	NA	NA	NA	NA	NA	NA	NA
Pool_M+_RA5_01_19911_modified.mzXML	Pool_M+_RA5_01_19911	Pool_M12	Pool_M	M	QC	Sphagnum	NA	NA	NA	NA	NA	NA	NA	NA
Pool_C+_BA4_01_19760_modified.mzXML	Pool_C+_BA4_01_19760	Pool_C1	Pool_C	C	QC	Sphagnum	NA	NA	NA	NA	NA	NA	NA	NA
Pool_C+_BA4_01_19774_modified.mzXML	Pool_C+_BA4_01_19774	Pool_C2	Pool_C	C	QC	Sphagnum	NA	NA	NA	NA	NA	NA	NA	NA
Pool_C+_BA4_01_19788_modified.mzXML	Pool_C+_BA4_01_19788	Pool_C3	Pool_C	C	QC	Sphagnum	NA	NA	NA	NA	NA	NA	NA	NA
Pool_C+_BA4_01_19802_modified.mzXML	Pool_C+_BA4_01_19802	Pool_C4	Pool_C	C	QC	Sphagnum	NA	NA	NA	NA	NA	NA	NA	NA
Pool_C+_BA4_01_19816_modified.mzXML	Pool_C+_BA4_01_19816	Pool_C5	Pool_C	C	QC	Sphagnum	NA	NA	NA	NA	NA	NA	NA	NA
Pool_C+_BA4_01_19830_modified.mzXML	Pool_C+_BA4_01_19830	Pool_C6	Pool_C	C	QC	Sphagnum	NA	NA	NA	NA	NA	NA	NA	NA
Pool_C+_BA4_01_19844_modified.mzXML	Pool_C+_BA4_01_19844	Pool_C7	Pool_C	C	QC	Sphagnum	NA	NA	NA	NA	NA	NA	NA	NA
Pool_C+_BA4_01_19858_modified.mzXML	Pool_C+_BA4_01_19858	Pool_C8	Pool_C	C	QC	Sphagnum	NA	NA	NA	NA	NA	NA	NA	NA
Pool_C+_BA4_01_19872_modified.mzXML	Pool_C+_BA4_01_19872	Pool_C9	Pool_C	C	QC	Sphagnum	NA	NA	NA	NA	NA	NA	NA	NA
Pool_C+_BA4_01_19886_modified.mzXML	Pool_C+_BA4_01_19886	Pool_C10	Pool_C	C	QC	Sphagnum	NA	NA	NA	NA	NA	NA	NA	NA
Pool_C+_BA4_01_19900_modified.mzXML	Pool_C+_BA4_01_19900	Pool_C11	Pool_C	C	QC	Sphagnum	NA	NA	NA	NA	NA	NA	NA	NA
Pool_C+_BA4_01_19913_modified.mzXML	Pool_C+_BA4_01_19913	Pool_C12	Pool_C	C	QC	Sphagnum	NA	NA	NA	NA	NA	NA	NA	NA
MeOH_Eau+_85_15_RA1_01_19745_modified	blank MeOH_Eau+_85_15_RA1_01_19745	MeOH_Eau1	MeOH_Eau	NA	BK	NA	NA	NA	NA	NA	NA	NA	NA	NA
MeOH_Eau+_85_15+_RA1_01_19914_modified	blank MeOH_Eau+_85_15+_RA1_01_19914	MeOH_Eau2	MeOH_Eau	NA	BK	NA	NA	NA	NA	NA	NA	NA	NA	NA
